"","ontology"
"GO:0000811","CC"
"GO:0000812","CC"
"GO:0000813","CC"
"GO:0000814","CC"
"GO:0000815","CC"
"GO:0000817","CC"
"GO:0000818","CC"
"GO:0000819","BP"
"GO:0000820","BP"
"GO:0000821","BP"
"GO:0000822","MF"
"GO:0000823","MF"
"GO:0000824","MF"
"GO:0000825","MF"
"GO:0000827","MF"
"GO:0000828","MF"
"GO:0000829","MF"
"GO:0000830","MF"
"GO:0000831","MF"
"GO:0000832","MF"
"GO:0000833","MF"
"GO:0000834","MF"
"GO:0000835","CC"
"GO:0000836","CC"
"GO:0000837","CC"
"GO:0000838","CC"
"GO:0000839","CC"
"GO:0000900","MF"
"GO:0000901","MF"
"GO:0000902","BP"
"GO:0000904","BP"
"GO:0000905","BP"
"GO:0000906","MF"
"GO:0000907","MF"
"GO:0000908","MF"
"GO:0000909","BP"
"GO:0000910","BP"
"GO:0000911","BP"
"GO:0000912","BP"
"GO:0000913","BP"
"GO:0000914","BP"
"GO:0000915","BP"
"GO:0000916","BP"
"GO:0000917","BP"
"GO:0000918","BP"
"GO:0000919","BP"
"GO:0000920","BP"
"GO:0000921","BP"
"GO:0000922","CC"
"GO:0000923","CC"
"GO:0000924","CC"
"GO:0000927","CC"
"GO:0000928","CC"
"GO:0000930","CC"
"GO:0000931","CC"
"GO:0000932","CC"
"GO:0000933","CC"
"GO:0000934","CC"
"GO:0000935","CC"
"GO:0000936","CC"
"GO:0000937","CC"
"GO:0000938","CC"
"GO:0000939","CC"
"GO:0000940","CC"
"GO:0000941","CC"
"GO:0000942","CC"
"GO:0000943","CC"
"GO:0000947","BP"
"GO:0000948","BP"
"GO:0000949","BP"
"GO:0000950","BP"
"GO:0000951","BP"
"GO:0000952","BP"
"GO:0000953","BP"
"GO:0000954","BP"
"GO:0000955","BP"
"GO:0000956","BP"
"GO:0000957","BP"
"GO:0000958","BP"
"GO:0000959","BP"
"GO:0000960","BP"
"GO:0000961","BP"
"GO:0000962","BP"
"GO:0000963","BP"
"GO:0000964","BP"
"GO:0000965","BP"
"GO:0000966","BP"
"GO:0000967","BP"
"GO:0000968","BP"
"GO:0000969","BP"
"GO:0000970","BP"
"GO:0000971","BP"
"GO:0000972","BP"
"GO:0000973","BP"
"GO:0000974","CC"
"GO:0000976","MF"
"GO:0000977","MF"
"GO:0000978","MF"
"GO:0000979","MF"
"GO:0000981","MF"
"GO:0000984","MF"
"GO:0000985","MF"
"GO:0000986","MF"
"GO:0000987","MF"
"GO:0000992","MF"
"GO:0000993","MF"
"GO:0000994","MF"
"GO:0000995","MF"
"GO:0001000","MF"
"GO:0001001","MF"
"GO:0001002","MF"
"GO:0001003","MF"
"GO:0001006","MF"
"GO:0001010","MF"
"GO:0001014","BP"
"GO:0001015","BP"
"GO:0001016","MF"
"GO:0001018","MF"
"GO:0001019","MF"
"GO:0001025","MF"
"GO:0001039","MF"
"GO:0001042","MF"
"GO:0001046","MF"
"GO:0001048","MF"
"GO:0001049","MF"
"GO:0001050","MF"
"GO:0001051","MF"
"GO:0001052","MF"
"GO:0001054","MF"
"GO:0001055","MF"
"GO:0001056","MF"
"GO:0001057","MF"
"GO:0001058","MF"
"GO:0001059","BP"
"GO:0001060","BP"
"GO:0001061","MF"
"GO:0001062","MF"
"GO:0001063","MF"
"GO:0001064","MF"
"GO:0001065","MF"
"GO:0001066","MF"
"GO:0001067","MF"
"GO:0001068","MF"
"GO:0001069","MF"
"GO:0001070","MF"
"GO:0001072","MF"
"GO:0001073","MF"
"GO:0001079","BP"
"GO:0001080","BP"
"GO:0001081","BP"
"GO:0001085","MF"
"GO:0001091","MF"
"GO:0001092","MF"
"GO:0001093","MF"
"GO:0001094","MF"
"GO:0001095","MF"
"GO:0001096","MF"
"GO:0001097","MF"
"GO:0001098","MF"
"GO:0001099","MF"
"GO:0001100","BP"
"GO:0001101","BP"
"GO:0001102","MF"
"GO:0001103","MF"
"GO:0001108","MF"
"GO:0001109","BP"
"GO:0001110","BP"
"GO:0001111","BP"
"GO:0001112","BP"
"GO:0001113","BP"
"GO:0001114","CC"
"GO:0001115","BP"
"GO:0001116","BP"
"GO:0001117","BP"
"GO:0001118","BP"
"GO:0001119","BP"
"GO:0001120","BP"
"GO:0001121","BP"
"GO:0001122","BP"
"GO:0001123","BP"
"GO:0001124","BP"
"GO:0001125","BP"
"GO:0001126","BP"
"GO:0001127","BP"
"GO:0001139","MF"
"GO:0001147","MF"
"GO:0001154","MF"
"GO:0001155","MF"
"GO:0001156","MF"
"GO:0001161","MF"
"GO:0001162","MF"
"GO:0001163","MF"
"GO:0001164","MF"
"GO:0001165","MF"
"GO:0001171","BP"
"GO:0001172","BP"
"GO:0001173","BP"
"GO:0001174","BP"
"GO:0001175","BP"
"GO:0001176","BP"
"GO:0001177","BP"
"GO:0001178","BP"
"GO:0001179","MF"
"GO:0001181","MF"
"GO:0001182","BP"
"GO:0001183","BP"
"GO:0001184","BP"
"GO:0001188","BP"
"GO:0001192","BP"
"GO:0001193","BP"
"GO:0001194","BP"
"GO:0001195","BP"
"GO:0001196","BP"
"GO:0001197","BP"
"GO:0001198","BP"
"GO:0001207","BP"
"GO:0001208","BP"
"GO:0001216","MF"
"GO:0001217","MF"
"GO:0001221","MF"
"GO:0001222","MF"
"GO:0001223","MF"
"GO:0001224","MF"
"GO:0001225","MF"
"GO:0001226","MF"
"GO:0001227","MF"
"GO:0001228","MF"
"GO:0001301","BP"
"GO:0001306","BP"
"GO:0001315","BP"
"GO:0001325","BP"
"GO:0001326","BP"
"GO:0001400","CC"
"GO:0001401","CC"
"GO:0001402","BP"
"GO:0001403","BP"
"GO:0001405","CC"
"GO:0001406","MF"
"GO:0001407","BP"
"GO:0001408","BP"
"GO:0001409","MF"
"GO:0001410","BP"
"GO:0001411","CC"
"GO:0001501","BP"
"GO:0001502","BP"
"GO:0001503","BP"
"GO:0001504","BP"
"GO:0001505","BP"
"GO:0001507","BP"
"GO:0001508","BP"
"GO:0001510","BP"
"GO:0001512","MF"
"GO:0001514","BP"
"GO:0001515","MF"
"GO:0001516","BP"
"GO:0001517","MF"
"GO:0001518","CC"
"GO:0001519","BP"
"GO:0001520","CC"
"GO:0001522","BP"
"GO:0001523","BP"
"GO:0001525","BP"
"GO:0001527","CC"
"GO:0001530","MF"
"GO:0001531","MF"
"GO:0001532","MF"
"GO:0001533","CC"
"GO:0001534","CC"
"GO:0001535","CC"
"GO:0001536","CC"
"GO:0001537","MF"
"GO:0001539","BP"
"GO:0001540","MF"
"GO:0001541","BP"
"GO:0001542","BP"
"GO:0001543","BP"
"GO:0001544","BP"
"GO:0001545","BP"
"GO:0001546","BP"
"GO:0001547","BP"
"GO:0001548","BP"
"GO:0001549","BP"
"GO:0001550","BP"
"GO:0001551","BP"
"GO:0001552","BP"
"GO:0001553","BP"
"GO:0001554","BP"
"GO:0001555","BP"
"GO:0001556","BP"
"GO:0001558","BP"
"GO:0001560","BP"
"GO:0001561","BP"
"GO:0001562","BP"
"GO:0001563","BP"
"GO:0001565","MF"
"GO:0001566","MF"
"GO:0001567","MF"
"GO:0001568","BP"
"GO:0001569","BP"
"GO:0001570","BP"
"GO:0001571","MF"
"GO:0001572","BP"
"GO:0001573","BP"
"GO:0001574","BP"
"GO:0001575","BP"
"GO:0001576","BP"
"GO:0001578","BP"
"GO:0001579","BP"
"GO:0001580","BP"
"GO:0001581","BP"
"GO:0001582","BP"
"GO:0001583","BP"
"GO:0001586","MF"
"GO:0001587","MF"
"GO:0001588","MF"
"GO:0001591","MF"
"GO:0001594","MF"
"GO:0001595","MF"
"GO:0001596","MF"
"GO:0001601","MF"
"GO:0001602","MF"
"GO:0001604","MF"
"GO:0001605","MF"
"GO:0001607","MF"
"GO:0001608","MF"
"GO:0001609","MF"
"GO:0001614","MF"
"GO:0001616","MF"
"GO:0001618","MF"
"GO:0001621","MF"
"GO:0001626","MF"
"GO:0001631","MF"
"GO:0001632","MF"
"GO:0001634","MF"
"GO:0001635","MF"
"GO:0001637","MF"
"GO:0001639","MF"
"GO:0001640","MF"
"GO:0001641","MF"
"GO:0001642","MF"
"GO:0001646","MF"
"GO:0001647","MF"
"GO:0001648","MF"
"GO:0001649","BP"
"GO:0001650","CC"
"GO:0001651","CC"
"GO:0001652","CC"
"GO:0001653","MF"
"GO:0001654","BP"
"GO:0001655","BP"
"GO:0001656","BP"
"GO:0001657","BP"
"GO:0001658","BP"
"GO:0001659","BP"
"GO:0001660","BP"
"GO:0001661","BP"
"GO:0001662","BP"
"GO:0001664","MF"
"GO:0001665","MF"
"GO:0001666","BP"
"GO:0001667","BP"
"GO:0001669","CC"
"GO:0001671","MF"
"GO:0001672","BP"
"GO:0001673","CC"
"GO:0001674","CC"
"GO:0001675","BP"
"GO:0001676","BP"
"GO:0001677","BP"
"GO:0001678","BP"
"GO:0001680","BP"
"GO:0001681","MF"
"GO:0001682","BP"
"GO:0001691","MF"
"GO:0001692","BP"
"GO:0001694","BP"
"GO:0001695","BP"
"GO:0001696","BP"
"GO:0001697","BP"
"GO:0001698","BP"
"GO:0001699","BP"
"GO:0001700","BP"
"GO:0001701","BP"
"GO:0001702","BP"
"GO:0001703","BP"
"GO:0001704","BP"
"GO:0001705","BP"
"GO:0001706","BP"
"GO:0001707","BP"
